source_snapshot,source_region,source_position,game_name,tag_line,platform,routing
opgg_kayle_2026_09_26,eune,26,GRIIIFFIINN,EUNE,eun1,europe
opgg_kayle_2026_09_26,br,26,the best kayle,br1,br1,americas
opgg_kayle_2026_09_26,na,27,Emma Moonstone,NA1,na1,americas
opgg_kayle_2026_09_26,euw,27,VLADS NOT HOT,EUW,euw1,europe
opgg_kayle_2026_09_26,kr,27,2147483647,mio韩服,kr,asia
opgg_kayle_2026_09_26,eune,27,PożeraczCuppy67,JINX,eun1,europe
opgg_kayle_2026_09_26,br,27,lordferlethe,444,br1,americas
opgg_kayle_2026_09_26,na,28,Assassin King,Soma,na1,americas
opgg_kayle_2026_09_26,euw,28,Izaya,back,euw1,europe
opgg_kayle_2026_09_26,kr,28,k mid,KR1,kr,asia
opgg_kayle_2026_09_26,eune,28,unlike me,km5,eun1,europe
opgg_kayle_2026_09_26,br,28,まいmai,oxo,br1,americas
opgg_kayle_2026_09_26,na,29,lana del rey fan,5829,na1,americas
opgg_kayle_2026_09_26,euw,29,rivauxGuillaumet,6017,euw1,europe
opgg_kayle_2026_09_26,kr,29,aweweawerdsr,KR1,kr,asia
opgg_kayle_2026_09_26,eune,29,Awakening,ThEye,eun1,europe
opgg_kayle_2026_09_26,br,29,Bad Liar,Nav,br1,americas
opgg_kayle_2026_09_26,na,30,Purt,666,na1,americas
opgg_kayle_2026_09_26,euw,30,Sapphirus,chai,euw1,europe
opgg_kayle_2026_09_26,kr,30,요즘잘자쿨냥이,zxc,kr,asia
opgg_kayle_2026_09_26,eune,30,SŠhhhhh,Shhh,eun1,europe
opgg_kayle_2026_09_26,br,30,ohmlatl,tekk,br1,americas
